,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
16,0.4,1.0,0.1,0.23,0.13,0.2,0.3,0.08,0.13,0.73,0.05,0.39,0.0,0.22,0.79,0.6,0.0,0.4,0.26,0.4,0.23,0.02,0.06,0.39,0.84,0.88,0.49
17,0.01,0.76,0.13,0.38,0.0,0.51,0.62,0.42,0.0,0.04,0.01,0.15,0.5,0.01,0.25,0.54,0.33,0.03,0.08,0.65,0.0,0.0,0.03,0.09,0.21,0.0,0.07
18,0.01,0.0,0.28,0.22,0.37,0.69,0.35,0.36,0.01,0.11,0.0,0.4,0.5,0.01,0.27,0.43,0.5,0.12,0.05,0.28,0.0,0.0,0.03,0.2,0.07,0.0,0.15
19,0.05,0.58,0.33,0.24,0.15,0.0,0.31,0.39,0.0,0.06,0.0,0.0,0.5,0.01,0.31,0.84,0.44,0.05,0.18,0.28,0.0,0.0,0.09,0.03,0.05,0.0,0.03
20,0.05,1.0,0.37,0.23,0.17,0.17,0.3,0.38,0.08,0.22,0.14,0.31,0.5,0.15,0.09,0.16,0.73,0.14,0.28,0.21,0.12,0.09,0.09,0.46,0.05,0.76,0.34
21,0.47,0.99,0.16,0.21,0.2,0.33,0.4,0.18,0.49,0.35,0.16,0.27,0.5,1.0,0.52,0.44,0.63,0.37,0.23,0.32,0.39,0.36,1.0,0.07,0.15,0.31,0.69
22,0.02,0.0,0.26,0.13,0.08,0.18,0.19,0.45,0.01,0.2,0.0,0.48,0.0,0.03,0.33,0.4,0.23,0.54,0.29,0.42,0.05,0.0,0.05,0.09,0.06,0.0,0.21
23,0.04,1.0,0.44,0.16,0.07,0.2,0.22,0.43,0.05,0.26,0.02,0.49,0.0,0.09,0.45,0.43,0.19,0.34,0.25,0.43,0.05,0.01,0.16,0.12,0.07,0.56,0.63
24,0.05,0.0,0.41,0.14,0.11,0.17,0.21,0.09,0.03,0.43,0.06,0.36,0.0,0.01,0.15,0.29,0.54,0.52,1.0,0.21,0.0,0.0,0.02,0.22,0.02,0.0,0.31
25,0.02,1.0,0.6,0.27,0.15,0.15,0.35,0.33,0.0,0.07,0.0,0.79,0.0,0.02,0.1,0.34,0.65,0.19,0.18,0.39,0.0,0.0,0.02,0.15,0.16,0.0,0.12
26,0.46,1.0,0.16,0.38,0.17,0.37,0.33,0.62,0.05,0.49,0.1,0.39,0.0,0.05,0.08,0.12,0.42,0.15,0.34,0.11,0.0,0.0,0.01,0.79,0.21,0.0,0.84
27,0.01,0.0,0.39,0.23,0.25,0.48,0.51,0.78,0.0,0.06,0.0,0.18,0.5,0.02,0.3,0.61,0.27,0.33,0.32,0.26,0.0,0.0,0.04,0.09,0.0,0.0,0.1
28,0.43,0.0,0.11,0.16,0.28,1.0,0.86,0.05,0.01,0.29,0.0,0.1,0.5,0.06,0.3,0.85,0.29,0.48,0.22,0.26,0.01,0.0,0.02,0.17,0.0,0.0,0.49
29,0.01,0.0,0.25,0.41,0.08,0.39,0.41,0.52,0.0,0.04,0.0,0.22,0.5,0.02,0.04,0.74,0.48,0.07,0.23,0.35,0.0,0.0,0.1,0.02,0.08,0.0,0.02
30,0.0,0.0,0.24,0.0,0.12,0.29,0.04,0.45,0.0,0.05,0.0,1.0,0.5,0.01,0.1,0.38,0.54,0.37,0.07,0.28,0.0,0.0,0.04,0.07,0.01,0.0,0.16
31,0.14,1.0,0.32,0.22,0.15,0.16,0.31,0.28,0.12,0.29,0.04,0.34,0.0,0.26,0.84,0.51,0.29,0.24,0.25,0.49,0.18,0.04,0.22,0.21,0.2,0.0,0.19
32,0.32,1.0,0.57,0.16,0.07,0.21,0.22,0.19,0.03,0.69,0.01,1.0,0.0,0.06,0.07,0.24,0.77,0.27,0.1,0.24,0.0,0.0,0.09,0.09,0.01,0.0,0.15
33,0.51,1.0,0.21,0.19,0.22,0.14,0.26,0.44,0.07,0.48,0.01,0.72,0.5,0.11,0.33,0.51,0.44,0.42,0.17,0.35,0.03,0.0,0.14,0.11,0.19,0.6,0.31
34,0.06,1.0,0.33,0.64,0.49,0.5,0.82,0.28,0.0,0.07,0.04,0.44,0.5,0.03,0.01,0.1,0.75,0.0,0.2,0.22,0.0,0.0,0.01,0.63,0.22,0.0,0.08
35,0.19,1.0,0.19,0.2,0.13,0.31,0.35,0.46,0.09,0.32,0.01,0.44,0.0,0.28,0.37,0.56,0.27,0.4,0.13,0.37,0.05,0.01,0.12,0.26,0.09,0.34,0.24
36,0.06,1.0,0.25,0.4,0.23,0.39,0.5,0.36,0.01,0.11,0.02,0.16,0.5,0.02,0.23,0.29,0.71,0.05,0.11,0.32,0.0,0.0,0.02,0.33,0.1,0.0,0.11
37,0.01,0.0,0.49,0.17,0.07,0.37,0.18,0.58,0.01,0.3,0.02,0.66,0.0,0.01,0.17,0.38,0.65,0.38,0.3,0.32,0.01,0.0,0.01,0.27,0.04,0.0,0.22
38,0.24,0.0,0.88,0.18,0.15,0.32,0.2,0.1,0.01,0.23,0.0,0.37,0.5,0.06,0.26,0.74,0.44,0.65,0.39,0.32,0.01,0.0,0.04,0.14,0.0,0.0,0.13
39,0.21,0.0,0.18,0.46,0.0,0.51,0.73,0.47,0.0,0.22,0.01,0.59,0.0,0.05,0.02,0.27,0.9,0.03,0.11,0.58,0.0,0.0,0.03,0.1,0.53,0.0,0.07
40,0.01,0.0,0.16,0.44,0.34,0.29,0.53,0.21,0.0,0.07,0.0,0.0,0.5,0.12,0.03,0.2,0.75,0.03,0.42,0.88,0.0,0.0,0.14,0.02,0.1,0.0,0.11
41,0.08,1.0,0.2,0.35,0.15,0.24,0.34,0.61,0.01,0.13,0.05,0.17,0.0,0.04,0.12,0.49,0.33,0.1,0.2,0.53,0.0,0.0,0.04,0.31,0.2,0.0,0.06
42,1.0,1.0,0.1,0.23,0.27,0.69,0.16,0.27,0.01,0.39,0.0,0.0,0.5,0.02,0.67,0.44,0.38,0.3,0.23,0.49,0.0,0.01,0.01,0.3,0.15,0.0,0.8
43,0.02,1.0,0.31,0.55,0.31,0.52,0.35,0.3,0.02,0.17,0.05,0.47,0.5,0.12,0.04,0.13,0.85,0.05,0.13,0.21,0.0,1.0,0.11,0.14,0.15,0.0,0.22
44,0.02,1.0,0.19,0.32,0.05,0.48,0.68,0.35,0.0,0.06,0.03,0.31,0.5,0.0,0.0,0.11,0.38,0.02,0.05,0.46,0.01,0.0,0.03,0.2,0.32,0.0,0.17
45,0.02,1.0,0.52,0.21,0.14,0.24,0.27,0.35,0.01,0.11,0.03,0.93,0.5,0.09,0.06,0.3,0.73,0.14,0.18,0.4,0.02,0.02,0.12,0.18,0.07,0.0,0.16
46,0.45,0.68,0.27,0.32,0.31,0.46,0.29,0.28,0.02,0.34,0.0,0.19,0.5,0.04,0.37,0.83,0.79,0.13,0.22,0.96,0.07,0.0,0.17,0.04,0.34,0.0,0.2
47,0.03,0.0,0.49,0.15,0.14,0.06,0.22,0.13,0.01,0.27,0.0,0.35,0.5,0.03,0.28,0.94,0.48,0.66,0.28,0.22,0.0,0.0,0.02,0.11,0.02,0.0,0.12
48,0.02,1.0,0.19,0.48,0.19,0.26,0.39,0.31,0.01,0.09,0.01,0.3,0.5,0.04,0.03,0.25,0.65,0.12,0.07,0.24,0.0,0.0,0.03,0.23,0.14,0.0,0.11
49,0.01,0.0,0.05,0.34,0.13,0.13,0.52,0.72,0.01,0.23,0.0,0.21,0.0,0.03,0.17,0.45,0.25,0.64,0.43,0.69,0.0,0.0,0.12,0.03,0.02,0.0,0.12
50,0.17,1.0,0.19,0.3,0.16,0.33,0.26,0.78,0.03,0.23,0.0,0.13,0.0,0.09,0.4,0.55,0.31,0.46,0.17,0.36,0.04,0.0,0.04,0.26,0.01,0.82,0.2
51,0.14,1.0,0.22,0.31,0.21,0.28,0.3,0.37,0.14,0.32,0.23,0.39,0.5,0.25,0.19,0.21,0.63,0.22,0.19,0.17,0.1,0.03,0.22,0.24,0.09,0.22,0.68
52,0.29,1.0,0.07,0.33,0.27,0.33,0.34,0.4,0.02,0.27,0.01,0.09,0.5,0.01,0.45,0.6,0.31,0.15,0.11,0.63,0.0,0.0,0.03,0.28,0.29,0.0,0.23
53,0.01,0.77,0.3,0.56,0.3,0.31,0.42,0.29,0.0,0.05,0.0,0.07,0.5,0.01,0.11,0.54,0.73,0.03,0.0,0.43,0.0,0.0,0.11,0.04,0.11,0.0,0.05
54,0.02,1.0,0.3,0.41,0.05,0.18,0.32,0.78,0.0,0.12,0.0,0.29,0.5,0.01,0.39,0.43,0.44,0.41,0.07,0.29,0.0,0.0,0.02,0.11,0.01,0.0,0.1
55,0.1,0.0,0.32,0.16,0.13,0.53,0.22,0.63,0.01,0.22,0.0,0.25,0.5,0.04,0.43,0.73,0.48,0.94,0.37,0.57,0.0,0.0,0.06,0.06,0.04,0.0,0.28
56,0.05,1.0,0.21,0.39,0.25,0.33,0.44,0.2,0.03,0.13,0.11,0.46,0.5,0.09,0.05,0.13,0.58,0.08,0.05,0.19,0.03,0.01,0.08,0.32,0.56,0.57,0.22
57,0.01,0.0,0.22,0.16,0.09,0.35,0.21,0.36,0.0,0.14,0.0,0.04,0.0,0.02,0.21,0.48,0.27,0.4,0.16,0.35,0.01,0.0,0.01,0.17,0.05,0.0,0.22
58,0.48,0.99,0.33,0.22,0.19,0.35,0.5,0.43,0.09,0.28,0.04,0.41,0.5,0.25,0.1,0.25,0.6,0.28,0.14,0.22,0.17,0.09,0.48,0.08,0.0,0.51,0.55
59,0.0,1.0,0.0,0.08,0.33,0.35,0.49,0.62,0.0,0.09,0.0,0.3,0.5,0.0,0.0,0.44,0.31,0.12,0.3,0.81,0.0,0.0,0.0,0.36,0.07,0.0,0.05
60,0.01,1.0,0.24,1.0,0.7,0.32,0.89,0.43,0.0,0.03,0.01,0.18,0.5,0.01,0.1,0.53,0.17,0.03,0.17,0.78,0.0,0.0,0.01,0.42,0.21,0.0,0.03
61,0.25,0.0,0.27,0.22,0.09,0.13,0.23,0.36,0.01,0.24,0.0,0.57,0.5,0.03,0.11,0.62,0.4,0.49,0.24,0.35,0.02,0.0,0.06,0.1,0.01,0.0,0.07
62,0.01,0.0,0.61,0.18,0.09,0.13,0.3,0.26,0.01,0.2,0.0,0.82,0.0,0.01,0.14,0.37,0.4,0.41,0.36,0.44,0.0,0.0,0.01,0.24,0.0,0.0,0.07
63,0.1,0.0,0.59,0.17,0.08,0.5,0.26,0.43,0.02,0.34,0.01,0.19,0.0,0.05,0.18,0.3,0.75,0.65,0.1,0.54,0.03,0.09,0.06,0.07,0.04,0.0,0.57
64,0.19,0.0,0.12,0.23,0.11,0.1,0.24,0.25,0.02,0.31,0.02,0.46,0.0,0.04,0.23,0.35,0.6,0.41,0.21,0.36,0.02,0.0,0.05,0.09,0.02,0.0,0.37
65,0.01,1.0,0.31,0.6,0.34,0.86,0.98,0.46,0.0,0.06,0.02,0.32,0.5,0.04,0.1,0.25,0.35,0.02,0.1,0.14,0.0,0.0,0.01,0.68,0.05,0.0,0.14
66,0.48,1.0,0.23,0.2,0.23,0.3,0.34,0.84,0.06,0.48,0.0,0.26,0.0,0.06,0.23,0.4,0.52,0.36,0.13,0.4,0.05,0.03,0.09,0.15,0.05,0.0,0.61
67,0.07,0.93,0.25,0.45,0.11,0.42,0.51,0.39,0.0,0.11,0.01,0.27,0.5,0.02,0.14,0.14,0.85,0.04,0.06,0.47,0.0,0.0,0.07,0.06,0.31,0.0,0.03
68,0.23,1.0,0.16,0.27,0.16,0.31,0.32,0.76,0.06,0.67,0.07,0.39,0.0,0.04,0.39,0.57,0.17,0.59,0.97,0.97,0.01,0.0,0.01,0.73,0.28,1.0,0.5
69,0.01,0.0,0.22,0.32,0.11,0.78,0.46,0.53,0.01,0.21,0.0,0.14,0.5,0.01,0.15,0.58,0.0,0.45,0.7,0.69,0.0,0.0,0.06,0.04,0.06,0.0,0.05
70,0.05,1.0,0.47,0.64,0.26,0.47,1.0,0.46,0.0,0.04,0.01,0.44,1.0,0.05,0.02,0.26,0.81,0.01,0.03,0.1,0.0,0.0,0.09,0.11,0.02,0.0,0.04
71,0.02,0.0,0.3,0.36,0.36,0.34,0.39,0.26,0.01,0.09,0.03,0.31,0.5,0.02,0.06,0.28,0.67,0.06,0.13,0.22,0.04,0.06,0.03,0.29,0.24,0.0,0.21
72,0.02,1.0,0.6,0.23,0.09,0.21,0.2,0.31,0.01,0.17,0.01,0.59,0.5,0.02,0.14,0.49,0.44,0.08,0.09,0.25,0.0,0.0,0.08,0.1,0.02,0.0,0.05
73,0.01,0.09,0.19,0.69,0.44,0.4,0.79,0.4,0.0,0.04,0.01,0.42,0.5,0.03,0.09,0.95,0.65,0.02,0.0,0.44,0.0,0.0,0.14,0.03,0.06,0.0,0.02
74,0.08,1.0,0.12,0.3,0.25,0.18,0.3,0.57,0.03,0.27,0.02,0.21,0.0,0.08,0.13,0.39,0.38,0.24,0.34,0.53,0.02,0.01,0.07,0.21,0.04,0.44,0.14
75,0.02,0.99,0.15,0.11,0.17,0.16,0.26,0.12,0.01,0.15,0.01,0.33,0.0,0.34,0.02,0.74,0.65,0.06,0.05,0.58,0.01,0.0,0.07,0.07,0.05,0.0,0.18
76,0.21,1.0,0.16,0.15,0.14,0.18,0.3,0.3,0.02,0.31,0.0,0.12,0.5,0.08,1.0,0.73,0.52,0.29,0.47,0.24,0.0,0.0,0.02,0.26,0.02,0.0,0.12
77,0.82,0.99,0.18,0.18,0.11,0.1,0.23,0.39,0.05,0.32,0.03,0.3,0.0,0.18,0.61,0.78,0.35,0.56,0.45,0.47,0.01,0.0,0.22,0.06,0.06,0.57,0.68
78,0.04,1.0,0.16,0.18,0.12,0.22,0.25,0.28,0.07,0.3,0.01,0.32,0.0,0.13,0.63,0.67,0.38,0.38,0.17,0.36,0.05,0.13,0.1,0.23,0.06,0.31,0.7
79,0.22,1.0,0.29,0.29,0.18,0.24,0.41,0.19,0.1,0.25,0.08,0.34,0.0,0.57,0.21,0.43,0.79,0.17,0.1,0.24,0.03,0.0,0.39,0.14,0.23,0.61,0.75
80,0.27,1.0,0.12,0.29,0.14,0.42,0.33,0.26,0.19,0.5,0.25,0.29,0.0,0.18,0.24,0.55,0.27,0.33,0.41,0.69,0.15,0.02,0.05,0.87,1.0,0.61,0.3
81,0.05,1.0,0.22,0.19,0.12,0.21,0.24,0.41,0.03,0.21,0.02,0.36,0.0,0.16,1.0,0.59,0.29,0.35,0.24,0.32,0.12,0.14,0.07,0.2,0.16,0.0,0.24
82,0.21,0.0,0.88,0.1,0.17,0.15,0.22,0.27,0.0,0.16,0.0,0.0,0.0,0.04,0.42,0.76,0.38,0.67,0.9,0.61,0.0,0.0,0.02,0.12,0.02,0.0,1.0
83,0.0,0.81,0.05,0.0,0.12,0.0,0.39,0.34,0.0,0.04,0.0,0.18,0.5,0.0,0.08,0.68,0.4,0.06,0.09,0.35,0.0,0.0,0.06,0.05,0.0,0.0,0.0
84,0.01,0.0,0.9,0.23,0.06,0.11,0.12,0.03,0.0,0.27,0.0,1.0,0.0,0.01,0.05,0.47,0.54,0.24,0.0,0.28,0.0,0.0,0.01,0.27,0.0,0.0,0.03
85,0.04,0.0,0.42,0.28,0.16,0.06,0.2,0.78,0.0,0.04,0.0,0.45,0.5,0.02,0.04,0.6,0.21,0.56,0.13,0.24,0.0,0.0,0.02,0.14,0.01,0.0,0.06
86,0.0,0.0,0.11,0.29,0.17,0.13,0.27,0.25,0.0,0.06,0.01,0.12,0.5,0.15,0.01,0.28,0.83,0.21,0.14,0.18,0.0,0.0,0.12,0.05,0.02,0.0,0.08
87,0.02,1.0,0.27,0.54,0.26,0.68,0.65,0.37,0.0,0.04,0.02,0.27,0.0,0.05,0.01,0.43,0.54,0.03,0.0,0.25,0.0,0.0,0.03,0.18,0.06,0.0,0.1
88,0.0,0.0,0.26,0.17,0.12,0.27,0.3,0.65,0.01,0.29,0.0,0.09,0.0,0.01,0.1,0.46,0.52,0.38,0.0,0.6,0.0,0.0,0.01,0.19,0.01,0.0,0.27
89,0.01,1.0,0.17,0.36,0.23,0.4,0.33,0.18,0.01,0.13,0.02,0.16,0.0,0.05,0.06,0.36,0.58,0.15,0.16,0.42,0.03,0.0,0.08,0.1,0.01,0.0,0.15
90,0.2,0.0,0.28,0.24,0.4,0.32,0.48,0.02,0.01,0.16,0.02,0.3,0.0,0.09,0.14,0.24,0.38,0.51,0.7,0.37,0.0,0.26,0.01,0.38,0.09,0.0,0.63
91,0.33,1.0,0.33,0.17,0.0,0.37,0.32,0.19,0.01,0.32,0.0,0.94,0.5,0.02,0.07,0.32,0.77,0.16,0.21,0.31,0.0,0.0,0.07,0.08,0.01,0.0,0.05
92,0.01,0.66,0.08,0.28,0.86,0.68,0.49,0.39,0.0,0.11,0.0,0.13,0.5,0.01,0.21,0.48,0.54,0.05,0.28,0.43,0.0,0.0,0.05,0.06,0.1,0.0,0.03
93,0.01,1.0,0.07,0.0,0.27,0.3,0.41,0.32,0.0,0.03,0.0,0.33,0.5,0.0,0.11,0.37,0.63,0.12,0.35,0.53,0.0,0.0,0.0,0.35,0.2,0.0,0.12
94,0.05,1.0,0.33,0.38,0.33,0.28,0.43,0.28,0.01,0.12,0.02,0.42,0.5,0.03,0.02,0.13,0.81,0.07,0.37,0.33,0.01,0.0,0.02,0.47,0.16,0.0,0.4
95,0.08,1.0,0.19,0.36,0.18,0.26,0.45,0.3,0.03,0.28,0.05,0.46,0.0,0.07,0.16,0.31,0.0,0.1,0.15,0.64,0.07,0.01,0.01,0.89,1.0,0.35,0.37
96,0.03,0.0,0.16,0.17,0.11,0.19,0.32,0.26,0.01,0.16,0.01,0.25,0.0,0.03,0.43,0.38,0.21,0.27,0.57,0.26,0.1,0.06,0.03,0.24,0.06,0.0,0.45
97,0.05,0.0,1.0,0.16,0.2,0.17,0.19,0.08,0.01,0.12,0.03,1.0,0.0,0.02,0.22,0.32,0.54,0.09,0.18,0.19,0.01,0.0,0.06,0.2,0.45,0.0,0.04
98,0.03,0.63,0.22,0.51,0.0,0.34,1.0,0.64,0.0,0.07,0.0,0.04,0.5,0.01,0.0,0.8,0.48,0.0,0.13,0.32,0.0,0.0,0.06,0.06,0.02,0.0,0.09
99,0.02,1.0,0.17,0.25,0.15,0.29,0.34,0.41,0.05,0.24,0.04,0.37,0.0,0.21,0.16,0.27,0.29,0.35,0.22,0.69,0.09,0.0,0.09,0.25,0.08,0.44,0.09
100,0.38,1.0,0.35,0.2,0.11,0.17,0.31,0.19,0.04,0.25,0.03,0.26,0.5,0.27,0.23,0.53,0.58,0.5,0.45,0.29,0.04,0.0,0.15,0.13,0.0,0.7,0.39
101,0.05,1.0,0.29,0.59,0.42,0.42,0.54,0.63,0.0,0.13,0.02,0.39,0.0,0.01,0.0,0.64,0.35,0.07,0.44,0.96,0.0,0.0,0.0,0.9,0.36,0.0,0.02
102,0.17,1.0,0.13,0.19,0.26,0.31,0.36,0.2,0.06,0.23,0.14,0.32,0.0,0.55,0.13,0.39,0.56,0.24,0.18,0.47,0.05,0.22,0.08,0.37,0.11,1.0,0.34
103,0.12,1.0,0.47,0.17,0.16,0.2,0.23,0.25,0.07,0.2,0.04,0.4,0.5,0.4,0.27,0.55,0.48,0.54,0.22,0.37,0.16,0.05,0.25,0.15,0.05,1.0,0.28
104,0.02,0.0,1.0,0.11,0.08,0.08,0.25,0.44,0.0,0.16,0.0,0.11,0.0,0.01,0.0,0.48,0.5,0.27,0.2,0.58,0.0,0.0,0.02,0.14,0.0,0.0,0.08
105,0.68,0.0,0.32,0.13,0.09,0.89,0.3,0.36,0.02,0.56,0.0,0.0,0.5,0.04,0.33,0.83,0.35,0.73,0.56,0.63,0.0,0.0,0.03,0.13,0.0,0.0,0.44
106,0.04,1.0,0.49,0.22,0.22,0.27,0.31,0.11,0.01,0.14,0.02,0.41,0.0,0.05,0.03,0.21,0.63,0.1,0.2,0.1,0.07,0.0,0.02,0.38,0.11,0.0,0.24
107,0.09,1.0,0.09,0.42,0.5,0.37,0.52,0.39,0.01,0.18,0.0,0.52,0.5,0.02,0.24,0.17,0.58,0.02,0.03,0.15,0.0,0.0,0.03,0.13,0.15,0.0,0.09
108,0.23,0.0,1.0,0.13,0.0,0.11,0.29,0.33,0.0,0.15,0.0,0.28,0.5,0.02,0.35,0.73,0.44,0.73,0.67,0.5,0.0,0.0,0.01,0.15,0.0,0.0,0.26
109,0.08,1.0,0.2,0.24,0.12,0.18,0.26,0.19,0.29,0.35,0.29,0.45,0.0,1.0,0.16,0.26,0.67,0.41,0.22,0.33,0.26,0.23,0.46,0.22,0.24,0.41,0.4
110,0.39,1.0,0.15,0.2,0.22,0.36,0.36,0.14,0.04,0.4,0.04,0.34,0.0,0.28,0.11,0.29,0.77,0.16,0.19,0.25,0.01,0.03,0.04,0.25,0.06,0.0,0.56
111,0.02,0.83,0.06,0.28,0.0,0.16,0.26,0.66,0.0,0.04,0.0,0.18,0.5,0.01,0.04,0.26,0.56,0.05,0.11,0.25,0.0,0.0,0.06,0.06,0.05,0.0,0.05
112,0.03,0.74,0.41,0.42,0.54,0.37,0.52,0.3,0.0,0.09,0.01,0.18,0.5,0.01,0.08,0.48,0.67,0.07,0.21,0.32,0.0,0.0,0.08,0.06,0.18,0.0,0.06
113,0.05,1.0,0.21,0.42,0.28,0.35,0.49,0.9,0.03,0.19,0.14,0.44,0.0,0.07,0.14,0.15,0.52,0.04,0.16,0.17,0.07,0.0,0.05,0.43,0.14,0.43,0.2
114,0.1,1.0,0.64,0.2,0.11,0.17,0.3,0.15,0.01,0.4,0.01,0.38,0.0,0.01,0.54,0.3,0.48,0.4,0.0,0.14,0.14,0.05,0.01,0.29,0.01,0.0,0.51
115,0.05,0.0,0.6,0.37,0.09,0.51,0.67,0.31,0.0,0.03,0.02,0.35,1.0,0.02,0.02,0.24,0.92,0.03,0.21,0.5,0.0,0.0,0.07,0.05,1.0,0.0,0.04
116,1.0,1.0,0.2,0.38,0.36,0.33,0.23,0.39,0.2,0.97,0.21,0.51,0.0,0.14,0.24,0.23,0.4,0.26,0.53,0.37,0.01,0.22,0.02,1.0,0.42,0.6,0.86
117,0.02,1.0,0.37,0.47,0.0,0.46,0.44,0.26,0.0,0.02,0.01,0.12,0.5,0.01,0.0,0.21,0.4,0.02,0.08,0.33,0.0,0.0,0.03,0.19,0.21,0.0,0.05
118,0.07,1.0,0.16,0.23,0.4,0.53,0.7,0.17,0.01,0.1,0.01,0.16,0.5,0.08,0.06,0.33,0.75,0.1,0.05,0.36,0.0,0.0,0.07,0.1,0.04,0.0,0.06
119,0.09,1.0,0.2,0.36,0.24,0.6,0.47,0.19,0.04,0.29,0.15,0.27,0.0,0.15,0.51,0.5,0.4,0.08,0.25,0.17,0.19,0.84,0.02,0.88,0.3,0.38,0.68
120,0.08,1.0,0.13,0.18,0.35,0.28,0.48,0.18,0.01,0.17,0.03,0.42,0.0,0.1,0.22,0.33,0.83,0.18,0.23,0.17,0.0,0.0,0.09,0.12,0.03,0.0,0.22
121,0.22,1.0,0.59,0.49,0.7,0.5,0.63,0.31,0.0,0.05,0.02,0.23,0.5,0.01,0.19,0.59,0.38,0.02,0.16,0.68,0.0,0.0,0.02,0.19,0.42,0.0,0.05
122,0.01,1.0,0.18,0.19,0.12,0.18,0.32,0.38,0.0,0.07,0.0,0.28,0.5,0.01,0.0,0.22,0.56,0.03,0.11,0.25,0.0,0.0,0.03,0.25,0.18,0.0,0.03
123,0.28,1.0,0.12,0.33,0.09,0.34,0.37,0.68,0.0,0.16,0.0,0.0,0.5,0.01,0.07,0.22,0.79,0.12,0.0,0.08,0.0,0.0,0.02,0.14,0.0,0.0,0.09
124,0.01,0.0,0.31,0.04,0.09,0.29,0.33,0.45,0.01,0.14,0.0,0.17,0.5,0.02,0.03,0.31,0.31,0.27,0.19,0.75,0.0,0.0,0.11,0.05,0.0,0.0,0.17
125,0.02,1.0,0.31,0.26,0.34,0.82,0.39,0.46,0.0,0.11,0.0,0.02,0.5,0.02,0.11,0.44,0.5,0.08,0.17,0.43,0.0,0.0,0.08,0.05,0.01,0.0,0.17
